venue_id,venue_name,lat,lng,postal_code,city,category
4bb765946edc76b06b1c321c,Shell,45.317649,-76.050169,K0A 1L0,Carp,Gas Station
4b2b8249f964a520f8b624e3,Ralph & Son's,45.35213351829195,-75.83571179802097,None,Ottawa,Diner
4b26a38df964a520cd7e24e3,Shell,45.35095397397683,-75.92653827945719,K2K 2R9,Kanata,Gas Station
4b666374f964a520da1f2be3,Esso,45.34226944117983,-75.91704129573017,K2K 2M5,Ottawa,Gas Station
4c63230fde1b2d7f490be470,MacEWEN Gas,45.383418382728834,-75.9696255911912,K2K 1X7,Dunrobin,Gas Station
4c78288d81bca0930328f914,Petro-Canada,45.308107,-75.915422,K2T 1L2,Kanata,Gas Station
545aa4d0498e45f1fbc9edc8,Shell,45.27918761,-75.95518669,K0A 1L0,Ottawa,Gas Station
5a88ba2aa9fe1264b75bffb9,Esso,45.294171,-75.92801,K2S 1B9,Ottawa,Gas Station
4ba517aaf964a52014dc38e3,Esso,45.31011588651307,-75.91857060986837,K2T 1E8,Kanata,Gas Station
4db9d7625da389d2c22dd7d7,Shell,45.400239334689246,-75.85272117471017,J9H 4K5,Gatineau,Gas Station
4e29a6841f6e88a1546ea1e2,Petro-Canada,45.302354,-75.87921,K2L 1B1,Kanata,Gas Station
4c99f6e2b8e9224b2f69493d,Shell,45.313381719751135,-75.88247926054953,K2L 2P1,Kanata,Gas Station
4c692eefc946e21e8e6ee98e,Petro-Canada,45.29092,-75.870616,K2M 1H4,Kanata,Gas Station
4cf3db9388de3704da7b812b,Petro-Canada,45.268,-75.938314,K2S 1B9,Stittsville,Gas Station
4c72bad1d944224b68780d29,Petro-Canada,45.272485,-75.93056,K2S 1B9,Stittsville,Gas Station
58776352f7f8dd6e029f73c6,Ultramar,45.338626,-75.911809,K2K 0K1,Ottawa,Gas Station
56648daf498ec6e77383c24c,Ultramar,45.33769886919292,-75.9117254278375,None,Ottawa,Gas Station
4f176011e4b0259eddc69b06,Petro-Canada,45.413487961497914,-75.8390187282641,None,None,Gas Station
4bdc9efb2a3a0f4771adb3b6,Shell,45.41437252355447,-75.80927555925105,J9J 3H8,Gatineau,Gas Station
504246c9e4b00a5804943afb,Shell,45.42383301,-76.36873259,K7S 3G9,Arnprior,Gas Station
4c7a7326bd346dcb956df8ef,Kanata Irving,45.27980306359801,-75.95617911556171,None,Kanata,Gas Station
